Textbox70,Textbox69
Location:,12 - CD-CHARLESTON

MenuItemName,Cost1,AvgPrice1,Profit1,Textbox35,TargetMargin1,Textbox43,PriceNeeded1,Location,Cost,AvgPrice,Profit,ProfitPercent,TargetMargin,Variance,PriceNeeded
CD-CHARLESTON - BROILED SALMON SALAD,3.36,14.95,11.59,77.5 %,0.0 %,77.5 %,3.36,CD-CHARLESTON,3.36,14.95,11.59,77.5 %,0.0 %,77.5 %,3.36
CD-CHARLESTON - DECAF COFFEE,0.18,3.00,2.82,93.9 %,0.0 %,93.9 %,0.18,CD-CHARLESTON,0.18,3.00,2.82,93.9 %,0.0 %,93.9 %,0.18
CD-CHARLESTON - FRIED SHRIMP,2.41,19.95,17.54,87.9 %,0.0 %,87.9 %,2.41,CD-CHARLESTON,2.41,19.95,17.54,87.9 %,0.0 %,87.9 %,2.41
CD-CHARLESTON - VIN,0.32,0.00,-0.32,-32.4 %,0.0 %,-32.4 %,0.32,CD-CHARLESTON,0.32,0.00,-0.32,-32.4 %,0.0 %,-32.4 %,0.32
CD-CHARLESTON - ADD 8 FRIED OYSTERS,5.44,12.00,6.56,54.7 %,0.0 %,54.7 %,5.44,CD-CHARLESTON,5.44,12.00,6.56,54.7 %,0.0 %,54.7 %,5.44
CD-CHARLESTON - COKE,0.79,3.00,2.21,73.7 %,0.0 %,73.7 %,0.79,CD-CHARLESTON,0.79,3.00,2.21,73.7 %,0.0 %,73.7 %,0.79
CD-CHARLESTON - BROCCOLINI,1.18,0.00,-1.18,-117.8 %,0.0 %,-117.8 %,1.18,CD-CHARLESTON,1.18,0.00,-1.18,-117.8 %,0.0 %,-117.8 %,1.18
CD-CHARLESTON - CHIPS & QUESO DIP,0.88,2.70,1.82,67.5 %,0.0 %,67.5 %,0.88,CD-CHARLESTON,0.88,2.70,1.82,67.5 %,0.0 %,67.5 %,0.88
CD-CHARLESTON - CLUB SANDWHICH,2.72,10.95,8.23,75.2 %,0.0 %,75.2 %,2.72,CD-CHARLESTON,2.72,10.95,8.23,75.2 %,0.0 %,75.2 %,2.72
CD-CHARLESTON - BEER CAN CHICKEN,3.92,18.95,15.03,79.3 %,0.0 %,79.3 %,3.92,CD-CHARLESTON,3.92,18.95,15.03,79.3 %,0.0 %,79.3 %,3.92
CD-CHARLESTON - COMBO SAL,4.64,6.00,1.36,22.7 %,0.0 %,22.7 %,4.64,CD-CHARLESTON,4.64,6.00,1.36,22.7 %,0.0 %,22.7 %,4.64
CD-CHARLESTON - HOT TEA,0.04,3.00,2.96,98.6 %,0.0 %,98.6 %,0.04,CD-CHARLESTON,0.04,3.00,2.96,98.6 %,0.0 %,98.6 %,0.04
CD-CHARLESTON - R QUART,4.27,7.95,3.68,46.3 %,0.0 %,46.3 %,4.27,CD-CHARLESTON,4.27,7.95,3.68,46.3 %,0.0 %,46.3 %,4.27
CD-CHARLESTON - WATER,0.00,0.00,0.00,0.0 %,0.0 %,0.0 %,0.00,CD-CHARLESTON,0.00,0.00,0.00,0.0 %,0.0 %,0.0 %,0.00
CD-CHARLESTON - VEGGIE PASTA,3.46,12.95,9.49,73.2 %,0.0 %,73.2 %,3.46,CD-CHARLESTON,3.46,12.95,9.49,73.2 %,0.0 %,73.2 %,3.46
CD-CHARLESTON - BLACKENED CHICKEN PASTA,1.76,16.95,15.19,89.6 %,0.0 %,89.6 %,1.76,CD-CHARLESTON,1.76,16.95,15.19,89.6 %,0.0 %,89.6 %,1.76
CD-CHARLESTON - SUB BAKED POTATO IN KIDS,0.65,0.00,-0.65,-64.7 %,0.0 %,-64.7 %,0.65,CD-CHARLESTON,0.65,0.00,-0.65,-64.7 %,0.0 %,-64.7 %,0.65
CD-CHARLESTON - FF,0.54,0.00,-0.54,-53.6 %,0.0 %,-53.6 %,0.54,CD-CHARLESTON,0.54,0.00,-0.54,-53.6 %,0.0 %,-53.6 %,0.54
CD-CHARLESTON - SUB SHE CRAB,2.11,3.50,1.39,39.8 %,0.0 %,39.8 %,2.11,CD-CHARLESTON,2.11,3.50,1.39,39.8 %,0.0 %,39.8 %,2.11
CD-CHARLESTON - HOUSE SALAD,0.83,1.59,0.76,48.0 %,0.0 %,48.0 %,0.83,CD-CHARLESTON,0.83,1.59,0.76,48.0 %,0.0 %,48.0 %,0.83
